otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
FOtu0156,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unclassified_Chaetothyriales,unclassified_Chaetothyriales,unclassified_Chaetothyriales
FOtu0161,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium
FOtu0162,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeriaceae_unclassified,Leptosphaeriaceae_unclassified
FOtu0163,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0164,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,unclassified_Sporormiaceae,unclassified_Sporormiaceae
FOtu0167,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanohalea,Melanohalea
FOtu0168,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora
FOtu0169,Fungi,Ascomycota,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,Lophium,Lophium
FOtu0171,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unclassified,Pleosporales_unclassified,Pleosporales_unclassified
FOtu0173,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified,Lecanoromycetes_unclassified
FOtu0175,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unclassified_Pleosporales,unclassified_Pleosporales,unclassified_Pleosporales
FOtu0176,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0178,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0180,Fungi,Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
FOtu0181,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,unclassified_Pleosporaceae,unclassified_Pleosporaceae
FOtu0183,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,Bullera
