OTU,family,genus,species
F.Otu0140,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0144,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0121,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0141,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0145,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0151,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
A.Otu0052,Chlorococcaceae,Chlorococcum,Chlorococcum_vacuolatum
F.Otu0159,Rhizocarpaceae,Rhizocarpon,Rhizocarpon
F.Otu0160,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0158,Parmeliaceae,Bryoria,Bryoria
F.Otu0045,Dothioraceae,Perusta,Perusta
F.Otu0106,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
A.Otu0055,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_reinhardtii
F.Otu0154,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0076,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
B.Otu0060,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu0165,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
B.Otu0071,Xanthobacteraceae,Tardiphaga,Tardiphaga
F.Otu0174,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
A.Otu0061,Haematococcaceae,Haematococcus,Haematococcus_rubicundus
A.Otu0062,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_debaryana
F.Otu0116,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0030,Aureobasidiaceae,Aureobasidium,Aureobasidium
B.Otu0052,Sphingomonadaceae,Sphingomonas,Sphingomonas
B.Otu0066,uncultured,uncultured_ge,uncultured_ge
F.Otu0179,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
F.Otu0182,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0089,Acidobacteriaceae_,Granulicella,Granulicella
F.Otu0185,Capnodiales_unclassified,Capnodiales,Capnodiales_unclassified
B.Otu0094,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu0186,Leucosporidiaceae,Leucosporidium,Leucosporidium
F.Otu0193,Capnodiales_fam_Incertae_sedis,Phaeotheca,Phaeotheca
F.Otu0194,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
A.Otu0067,Chlamydomonadaceae,Chloromonas,Chloromonas_nivalis_subsp_tatrae
F.Otu0198,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
A.Otu0068,Chlamydomonadales_unclassified,,
F.Otu0177,Sympoventuriaceae,unclassified,unclassified_Sympoventuriaceae
F.Otu0133,unclassified_Chaetothyriales,unclassified,unclassified_Chaetothyriales
